qb_name,dropbacks,epa_per_dropback,success_rate,cpoe
K.Murray,570,0.1149,49.82,2.12
J.Allen,586,0.259,48.63,2.01
L.Jackson,544,0.344,51.47,5.08
P.Mahomes,714,0.1011,48.46,2.3
D.Carr,290,0.164,44.14,3.28
B.Young,414,-0.0625,39.13,0.67
A.Dalton,168,-0.1134,41.07,-1.14
D.Prescott,307,-0.031,41.37,-0.85
D.Watson,250,-0.2462,33.6,-2.23
G.Smith,629,0.0352,46.42,5.64
B.Nix,615,0.0439,42.28,0.36
J.Love,477,0.1187,46.96,0.17
J.Hurts,503,0.1308,47.12,7.75
A.Richardson,277,-0.1413,34.66,-10.86
C.Stroud,655,-0.0167,41.68,-1.21
T.Tagovailoa,421,0.2034,52.97,3.78
T.Lawrence,305,0.0203,42.95,-0.97
M.Stafford,624,0.0665,47.92,-0.84
J.Goff,607,0.2732,54.2,4.98
J.Herbert,581,0.0856,44.06,0.55
G.Minshew,333,-0.1372,44.74,0.52
D.Jones,371,-0.0979,42.32,1.46
S.Darnold,643,0.0314,47.59,3.22
J.Burrow,701,0.1654,51.21,6.79
J.Brissett,179,-0.2073,39.11,-2.91
A.Rodgers,627,0.018,43.38,-2.58
B.Purdy,482,0.1623,49.59,2.06
K.Cousins,478,0.0451,48.12,0.96
J.Fields,178,0.0395,41.01,2.03
W.Levis,344,-0.1905,35.76,-0.43
C.Williams,636,-0.0754,38.84,-0.1
B.Mayfield,631,0.2048,51.98,4.09
J.Daniels,648,0.1429,46.14,3.29
C.Rush,321,-0.072,41.12,-8.06
A.O'Connell,254,0.0098,44.09,-3.58
M.Jones,279,-0.0118,41.22,-0.49
D.Maye,374,-0.0698,45.72,2.84
J.Flacco,267,0.0077,46.07,1.07
T.Huntley,149,-0.1373,37.58,3.1
M.Rudolph,237,-0.0053,47.26,0.24
J.Winston,326,-0.0769,41.72,-1.77
S.Rattler,250,-0.3029,35.6,-9.06
D.Thompson-Robinson,126,-0.5646,27.78,-11.67
R.Wilson,401,0.0148,41.4,5.1
D.Lock,193,-0.2148,41.45,-6.1
M.Penix,109,0.1335,48.62,-4.44
