qb_name,team,total_drives,drives_with_points,drives_ending_in_points_pct,total_points,games,points_per_game,total_plays,success_rate,avg_epa,pass_attempts,completions,completion_rate,touchdowns,interceptions
A.Rodgers,PIT,11,1,9.09,5,15,0.33,92,46.74,0.1576,82,46,56.1,5,2
B.Cook,NYJ,8,0,0.0,0,5,0.0,40,20.0,-0.5141,39,16,41.03,0,4
B.Mayfield,TB,15,5,33.33,24,17,1.41,114,39.47,-0.0116,101,58,57.43,6,3
B.Nix,DEN,20,9,45.0,66,18,3.67,123,38.21,0.1741,95,53,55.79,10,1
B.Purdy,SF,10,3,30.0,23,11,2.09,63,33.33,0.0191,51,24,47.06,1,0
B.Young,CAR,15,8,53.33,38,16,2.38,104,29.81,-0.0244,84,40,47.62,5,2
C.Stroud,HOU,14,7,50.0,63,15,4.2,91,29.67,-0.2391,74,35,47.3,1,4
C.Ward,TEN,15,5,33.33,39,15,2.6,102,35.29,0.0021,94,42,44.68,5,1
C.Wentz,MIN,6,1,16.67,6,5,1.2,31,54.84,0.2682,31,19,61.29,1,0
C.Williams,CHI,17,6,35.29,32,19,1.68,142,35.92,0.0072,123,57,46.34,7,1
D.Gabriel,CLE,8,1,12.5,21,6,3.5,41,34.15,-0.0402,39,22,56.41,1,0
D.Jones,IND,9,1,11.11,1,11,0.09,66,45.45,-0.0143,57,32,56.14,2,2
D.Maye,NE,16,4,25.0,42,18,2.33,135,45.93,0.0096,94,56,59.57,4,2
D.Mills,HOU,8,3,37.5,27,6,4.5,36,36.11,0.1454,30,17,56.67,2,0
D.Prescott,DAL,16,5,31.25,25,17,1.47,104,50.96,0.2943,83,55,66.27,8,3
G.Smith,LV,16,4,25.0,25,13,1.92,70,41.43,0.0855,61,36,59.02,4,1
J.Allen,BUF,12,1,8.33,7,18,0.39,103,39.81,0.0448,68,38,55.88,7,3
J.Brissett,ARI,10,1,10.0,6,12,0.5,88,39.77,-0.046,82,43,52.44,3,3
J.Browning,CIN,6,1,16.67,6,4,1.5,24,45.83,-0.5655,20,14,70.0,2,1
J.Burrow,CIN,7,4,57.14,28,7,4.0,34,38.24,0.1839,32,14,43.75,3,0
J.Daniels,WAS,8,2,25.0,10,7,1.43,49,40.82,0.034,38,19,50.0,3,0
J.Dart,NYG,9,3,33.33,15,12,1.25,80,27.5,-0.1349,66,29,43.94,3,1
J.Fields,NYJ,10,4,40.0,32,9,3.56,59,37.29,-0.0735,50,21,42.0,2,0
J.Flacco,CIN,9,5,55.56,33,8,4.12,68,45.59,0.244,59,35,59.32,4,1
J.Goff,DET,17,3,17.65,30,17,1.76,105,45.71,0.2523,96,63,65.62,7,2
J.Herbert,LAC,15,3,20.0,16,17,0.94,92,39.13,-0.0147,68,39,57.35,6,3
J.Hurts,PHI,16,3,18.75,12,16,0.75,95,36.84,0.01,74,40,54.05,3,0
J.Love,GB,13,7,53.85,55,15,3.67,97,43.3,0.0383,82,42,51.22,3,0
J.McCarthy,MIN,11,3,27.27,21,10,2.1,52,28.85,-0.2697,40,19,47.5,2,2
K.Cousins,ATL,10,1,10.0,9,8,1.12,52,46.15,0.2215,43,24,55.81,2,0
K.Murray,ARI,8,2,25.0,12,5,2.4,26,46.15,0.2902,24,14,58.33,3,0
L.Jackson,BAL,13,1,7.69,6,13,0.46,75,40.0,0.0205,56,31,55.36,4,0
M.Jones,SF,10,3,30.0,42,11,3.82,75,40.0,-0.0308,59,35,59.32,2,0
M.Mariota,WAS,12,1,8.33,6,8,0.75,44,45.45,0.1271,33,17,51.52,1,1
M.Penix,ATL,10,5,50.0,32,9,3.56,55,27.27,-0.2808,46,22,47.83,1,0
M.Stafford,LA,14,7,50.0,60,19,3.16,114,40.35,0.0638,94,46,48.94,5,2
P.Mahomes,KC,8,5,62.5,42,13,3.23,95,37.89,0.1023,83,37,44.58,3,0
R.Wilson,NYG,5,1,20.0,6,3,2.0,17,17.65,-0.3374,14,3,21.43,1,1
S.Darnold,SEA,16,4,25.0,31,18,1.72,106,43.4,-0.125,86,49,56.98,1,1
S.Rattler,NO,11,3,27.27,29,9,3.22,57,45.61,-0.0671,49,27,55.1,2,0
S.Sanders,CLE,12,3,25.0,21,8,2.62,41,29.27,-0.0735,37,14,37.84,2,0
T.Lawrence,JAX,16,5,31.25,58,18,3.22,107,50.47,-0.0055,82,46,56.1,5,3
T.Shough,NO,11,4,36.36,26,10,2.6,82,46.34,-0.048,70,40,57.14,3,2
T.Tagovailoa,MIA,15,5,33.33,35,12,2.92,70,44.29,0.1609,63,35,55.56,4,1
T.Taylor,NYJ,9,2,22.22,14,4,3.5,27,33.33,-0.5179,22,6,27.27,2,2
